,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,bama,99,NG,1604712585,39,11.52,13.69,70.68,4.68
1,ancud,100,CL,1604712585,76,-41.87,-73.82,51.01,10.29
2,new norfolk,75,LR,1604712586,94,6.65,-10.59,78.8,1.52
3,tuban,24,ID,1604712586,69,-6.9,112.06,83.77,7.56
4,asau,12,RO,1604712325,92,46.43,26.4,45.0,3.65
5,taldan,100,RU,1604712586,97,53.67,124.8,20.07,5.75
6,mayo,1,US,1604712586,100,38.89,-76.51,55.99,5.79
7,yellowknife,40,CA,1604712422,91,62.46,-114.35,7.0,6.93
8,butaritari,100,KI,1604712586,75,3.07,172.79,81.3,14.25
9,kavaratti,20,IN,1604712586,76,10.57,72.64,82.53,7.49
10,cidreira,1,BR,1604712586,83,-30.18,-50.21,67.53,15.93
11,gikongoro,100,RW,1604712586,83,-2.46,29.57,59.54,2.95
12,punta arenas,100,PH,1604712587,84,8.99,125.34,80.67,5.23
13,constitucion,0,CL,1604712318,75,-35.33,-72.42,54.82,12.93
14,avarua,0,CK,1604712587,78,-21.21,-159.78,77.0,4.7
15,stornoway,20,GB,1604712587,93,58.21,-6.39,41.0,1.12
16,kavieng,80,PG,1604712587,75,-2.57,150.8,84.74,13.09
17,fortuna,75,US,1604712334,81,40.6,-124.16,51.01,12.75
18,atuona,90,PF,1604712330,75,-9.8,-139.03,78.39,14.99
19,cape town,0,CL,1604712587,59,-36.41,-71.9,64.4,4.7
20,port elizabeth,2,CD,1604712587,66,-7.03,29.76,74.59,5.88
21,balabac,83,PH,1604712588,78,7.99,117.06,82.58,11.21
22,upernavik,0,GL,1604712588,76,72.79,-56.15,-2.07,7.31
23,iqaluit,75,CA,1604712588,70,63.75,-68.51,1.4,25.28
24,busselton,0,AU,1604712588,61,-33.65,115.33,70.0,4.0
25,rikitea,24,PF,1604712589,75,-23.12,-134.97,71.49,17.98
26,mar del plata,40,ES,1604712589,60,43.4,-4.01,68.0,6.93
27,thompson,90,CA,1604712336,92,55.74,-97.86,14.0,2.24
28,kahului,40,US,1604712442,55,20.89,-156.47,87.8,12.75
29,halden,1,NO,1604712590,100,59.12,11.39,41.0,6.93
30,esperance,40,AU,1604712590,72,-33.87,121.9,59.0,14.99
31,qaanaaq,95,GL,1604712590,78,77.48,-69.36,-6.27,8.23
32,vaini,40,TO,1604712315,69,-21.2,-175.2,80.6,9.17
33,port alfred,2,CD,1604712590,66,-7.03,29.76,74.59,5.88
34,ushuaia,75,AR,1604712590,32,-54.8,-68.3,53.6,9.17
35,castro,0,BR,1604712332,91,-24.79,-50.01,54.55,8.25
36,saryozek,0,KZ,1604712591,52,44.36,77.98,39.79,6.15
37,bluff,100,NZ,1604712591,83,-46.6,168.33,46.98,10.33
38,barrow,90,US,1604712591,85,71.29,-156.79,14.0,9.17
39,marondera,86,ZW,1604712591,55,-18.19,31.55,66.31,5.03
40,georgetown,20,MY,1604712591,83,5.41,100.34,82.4,3.36
41,albany,30,US,1604712559,52,42.6,-73.97,55.99,5.41
42,shasta lake,76,US,1604712591,62,40.77,-122.03,48.99,1.01
43,saskylakh,83,RU,1604712320,92,71.92,114.08,-2.49,1.59
44,jega,0,NG,1604712592,28,12.22,4.38,77.36,9.31
45,hue,75,VN,1604712592,94,16.47,107.6,75.2,4.7
46,kapaa,40,US,1604712592,74,22.08,-159.32,82.4,11.41
47,uarini,100,BR,1604712592,87,-2.99,-65.11,75.67,1.77
48,tasiilaq,100,GL,1604712592,79,65.61,-37.64,28.4,16.11
49,kaeo,59,NZ,1604712592,94,-35.1,173.78,66.99,7.0
50,mahebourg,75,MU,1604712593,88,-20.41,57.7,69.8,3.36
51,saint-philippe,0,RE,1604712593,68,-21.36,55.77,69.8,6.93
52,kudahuvadhoo,13,MV,1604712593,69,2.67,72.89,82.36,2.8
53,lompoc,20,US,1604712294,67,34.64,-120.46,57.2,19.46
54,mataura,99,NZ,1604712593,77,-46.19,168.86,52.27,9.48
55,san patricio,0,ML,1604712593,24,13.3,-4.9,81.86,8.99
56,hermanus,89,ZA,1604712593,91,-34.42,19.23,55.99,7.0
57,indergarh,0,IN,1604712593,29,26.94,79.67,63.75,3.69
58,isangel,75,VU,1604712593,66,-19.55,169.27,86.0,5.82
59,itaituba,100,BR,1604712594,94,-4.28,-55.98,75.49,2.21
60,timmins,20,CA,1604712449,93,48.47,-81.33,39.2,2.24
61,caravelas,100,BR,1604712594,88,-17.71,-39.25,73.22,5.5
62,norman wells,1,US,1604712594,72,35.22,-97.44,66.2,10.29
63,puro,100,PH,1604712595,81,12.48,123.38,80.87,7.4
64,samana,96,DO,1604712595,86,19.21,-69.34,75.4,4.27
65,cairns,0,AU,1604712595,58,-16.92,145.77,89.01,8.05
66,tuatapere,100,NZ,1604712595,90,-46.13,167.68,45.12,7.67
67,villa rica,0,IT,1604712595,85,46.2,10.13,52.0,3.04
68,maloy,100,NO,1604712595,81,61.94,5.11,50.0,14.99
69,half moon bay,75,LR,1604712595,94,6.38,-10.7,78.8,4.27
70,zhigansk,76,RU,1604712596,89,66.77,123.37,-13.63,4.38
71,lorengau,100,PG,1604712596,72,-2.02,147.27,85.32,11.23
72,jamestown,1,US,1604712394,54,42.1,-79.24,57.2,9.17
73,santa fe,93,PH,1604712596,75,17.49,120.43,81.36,3.83
74,havre-saint-pierre,90,CA,1604712596,100,50.23,-63.6,33.8,10.29
75,carnarvon,90,AU,1604712356,83,-24.87,113.63,73.4,16.11
76,san ramon,0,ML,1604712519,24,13.3,-4.9,81.86,8.99
77,beni suef,100,CD,1604712596,99,0.5,29.47,62.51,1.19
78,cayenne,0,GF,1604712596,100,4.93,-52.33,75.2,2.24
79,margate,0,GB,1604712352,72,51.38,1.39,51.01,1.99
80,hudson bay,1,US,1604712326,55,40.72,-74.07,66.2,6.93
81,vardo,28,NO,1604712597,72,70.37,31.11,41.2,24.76
82,alice springs,1,US,1604712378,73,27.75,-98.07,71.6,8.05
83,saint-georges,20,GD,1604712597,88,12.06,-61.75,82.4,12.75
84,novikovo,93,RU,1604712597,83,51.15,37.89,40.8,9.33
85,ghanzi,6,BW,1604712597,23,-21.57,21.78,75.15,8.95
86,zeya,100,RU,1604712598,94,53.75,127.27,23.29,2.46
87,naryan-mar,100,RU,1604712598,98,67.67,53.09,34.47,4.54
88,puerto ayora,40,ES,1604712598,77,36.59,-6.23,62.6,9.17
89,kodiak,1,US,1604712598,75,57.79,-152.41,42.8,4.7
90,sri aman,0,MA,1604712598,82,30.04,-8.8,60.8,5.82
91,codrington,96,AU,1604712598,62,-38.27,141.97,54.64,12.97
92,clyde river,15,US,1604712599,68,41.3,-82.98,60.01,10.09
93,longyearbyen,75,SJ,1604712599,80,78.22,15.64,33.8,13.87
94,guerrero negro,11,MX,1604712599,72,17.67,-100.0,65.73,2.57
95,laguna,1,US,1604712599,50,38.42,-121.42,57.99,13.87
96,charlestown,40,AU,1604712599,60,-32.95,151.67,69.8,16.11
97,hasaki,75,JP,1604712557,72,35.73,140.83,64.0,1.12
98,huangzhai,0,CN,1604712599,21,38.08,112.66,50.0,6.71
99,vestmannaeyjar,99,IS,1604712599,69,63.44,-20.27,40.75,16.44
100,meiganga,99,CM,1604712600,67,6.52,14.3,65.82,1.86
101,geraldton,0,AU,1604712600,50,-28.77,114.6,75.2,5.82
102,xifeng,0,CN,1604712600,56,42.74,124.72,42.8,2.44
103,tezu,0,IN,1604712600,40,27.92,96.17,65.41,3.74
104,liseleje,20,DK,1604712600,88,56.01,11.95,50.0,11.43
105,san felipe,21,ML,1604712601,23,13.3,-4.9,80.55,8.12
106,chuy,75,UY,1604712601,93,-33.7,-53.46,60.33,8.79
107,ratnagiri,0,IN,1604712601,57,16.98,73.3,74.89,7.67
108,arraial do cabo,0,BR,1604712601,72,-22.84,-46.65,62.6,17.22
109,houma,40,US,1604712546,88,29.6,-90.72,71.01,11.41
110,nikolskoye,0,RU,1604712601,76,59.7,30.79,50.0,24.61
111,khatanga,0,RU,1604712602,90,71.97,102.5,-5.12,6.82
112,dharchula,0,IN,1604712602,36,29.85,80.53,55.54,3.78
113,araouane,54,ML,1604712603,16,18.9,-3.53,82.36,9.19
114,sheltozero,25,RU,1604712603,76,61.37,35.37,43.57,19.57
115,tuktoyaktuk,40,CA,1604712317,78,69.45,-133.04,15.8,18.34
116,hilo,90,US,1604712567,65,19.73,-155.09,82.4,9.17
117,hami,0,CN,1604712605,49,42.8,93.45,44.24,7.56
118,san vicente,0,ML,1604712519,24,13.3,-4.9,81.86,8.99
119,kaitangata,59,NZ,1604712606,74,-46.28,169.85,53.01,15.01
120,bilibino,100,RU,1604712335,90,68.05,166.44,10.36,8.66
121,sitka,90,US,1604712607,93,57.05,-135.33,39.2,12.75
122,gorontalo,100,ID,1604712607,58,0.54,123.06,88.2,3.71
123,souillac,75,MU,1604712350,88,-20.52,57.52,69.8,3.36
124,awbari,100,LY,1604712608,53,26.59,12.78,58.48,6.2
125,lebu,0,CL,1604712608,80,-37.62,-73.65,52.56,19.89
126,hithadhoo,59,MV,1604712608,68,-0.6,73.08,83.37,3.13
127,bonavista,100,CA,1604712609,100,48.65,-53.11,52.0,8.05
128,marsaxlokk,20,MT,1604712609,82,35.84,14.54,64.99,6.93
129,pangnirtung,100,CA,1604712609,81,66.15,-65.71,12.74,1.79
130,darbhanga,0,IN,1604712373,54,26.17,85.9,64.17,1.54
131,east london,20,IS,1604712609,55,65.0,-15.0,35.6,14.99
132,tual,67,ID,1604712610,74,-5.67,132.75,82.87,12.84
133,concordia,0,AR,1604712322,53,-31.39,-58.02,70.0,4.0
134,galich,100,RU,1604712610,93,58.38,42.35,36.88,11.03
135,balykshi,40,KZ,1604712610,81,47.07,51.87,42.8,8.95
136,erenhot,0,CN,1604712610,76,43.65,111.98,30.6,17.16
137,barentu,0,ER,1604712611,63,15.11,37.59,66.42,1.88
138,grand river south east,1,US,1604712611,25,38.88,-109.5,62.6,5.82
139,huarmey,2,PE,1604712612,86,-10.07,-78.15,61.43,4.9
140,altagracia de orituco,100,NI,1604712612,84,11.57,-85.58,78.67,23.2
141,nome,90,US,1604712612,86,64.5,-165.41,39.99,19.46
142,dikson,0,RU,1604712613,89,73.51,80.55,-0.31,5.53
143,praia da vitoria,0,CV,1604712350,83,14.92,-23.51,77.0,8.05
144,yerbogachen,68,RU,1604712613,89,61.28,108.01,-7.35,4.21
145,kaduqli,22,SD,1604712613,23,11.02,29.72,72.63,10.18
146,sisimiut,100,GL,1604712613,81,66.94,-53.67,13.3,10.71
147,muros,75,ES,1604712613,87,42.78,-9.06,53.6,9.17
148,provideniya,15,RU,1604712614,87,64.38,-173.3,34.23,23.38
149,karratha,0,AU,1604712614,18,-20.74,116.85,91.94,15.43
150,missungwi,77,TZ,1604712614,78,-2.85,33.08,69.93,3.18
151,magadan,98,RU,1604712614,86,59.57,150.8,13.5,12.06
152,dzerzhinsk,75,RU,1604712614,93,56.24,43.46,37.4,8.95
153,formosa,0,AR,1604712463,43,-26.18,-58.18,73.4,6.93
154,luderitz,0,NA,1604712615,76,-26.65,15.16,58.51,3.89
155,wamba,0,NG,1604712615,34,8.93,8.6,73.08,3.56
156,alyangula,40,AU,1604712615,59,-13.85,136.42,89.6,9.17
157,bathsheba,75,BB,1604712615,88,13.22,-59.52,80.6,19.46
158,biak,75,ID,1604712616,64,-0.91,122.88,84.87,4.52
159,ridgecrest,75,US,1604712616,23,35.62,-117.67,73.4,20.8
160,touros,75,BR,1604712530,83,-5.2,-35.46,78.8,4.7
161,ostrovnoy,100,RU,1604712329,92,68.05,39.51,35.78,11.12
162,ucluelet,20,CA,1604712563,86,48.93,-125.55,43.0,2.24
163,namatanai,84,PG,1604712617,64,-3.67,152.43,85.5,9.26
164,aklavik,75,CA,1604712617,85,68.22,-135.01,12.2,3.36
165,kidal,0,ML,1604712618,22,18.44,1.41,70.61,12.44
166,havre,0,FR,1604712619,87,49.58,0.33,46.4,10.29
167,sao jose da coroa grande,0,IN,1604712619,50,20.51,76.21,64.02,5.03
168,mana,99,GF,1604712619,85,5.66,-53.78,78.48,8.99
169,fredericton,75,CA,1604712617,87,45.95,-66.67,53.01,4.7
170,ketchikan,90,US,1604712620,80,55.34,-131.65,39.2,6.93
171,faenza,0,IT,1604712620,86,44.29,11.88,48.0,4.0
172,fort nelson,0,NL,1604712620,95,52.65,6.39,41.0,7.47
173,guarapari,90,BR,1604712620,88,-20.67,-40.5,73.4,6.93
174,khor,100,RU,1604712621,94,47.89,134.95,34.0,1.32
175,camacha,40,PT,1604712621,63,33.08,-16.33,66.2,11.41
176,bantogon,99,PH,1604712622,80,6.53,124.03,81.23,7.43
177,hofn,0,IS,1604712622,76,64.25,-15.21,35.87,11.79
178,pedernales,100,DO,1604712622,71,18.04,-71.74,78.8,2.06
179,calvia,0,ES,1604712622,82,39.57,2.51,68.0,16.11
180,kruisfontein,100,ZA,1604712353,92,-34.0,24.73,57.0,1.77
181,bethel,1,US,1604712617,87,41.37,-73.41,59.0,5.66
182,mangrol,0,IN,1604712623,49,21.12,70.12,75.9,9.19
183,harper,100,LR,1604712350,86,4.38,-7.72,77.45,4.45
184,nagorsk,95,RU,1604712623,96,59.32,50.81,33.98,4.14
185,zbarazh,65,UA,1604712623,96,49.66,25.78,42.69,8.77
186,hobart,75,AU,1604712376,43,-42.88,147.33,57.99,12.75
187,christchurch,100,NZ,1604712445,72,-43.53,172.63,64.99,3.36
188,coquimbo,0,CL,1604712625,93,-29.95,-71.34,53.6,2.24
189,nizhnevartovsk,90,RU,1604712625,98,60.93,76.55,33.8,8.95
190,talnakh,40,RU,1604712333,72,69.49,88.4,10.4,13.42
191,mys shmidta,87,RU,1604712626,94,62.06,48.62,33.35,4.85
192,ribeira brava,75,ES,1604712626,87,42.75,-8.44,53.6,9.17
193,kasongo-lunda,97,CD,1604712627,92,-6.47,16.82,67.37,1.32
194,faya,0,SA,1604712627,81,18.39,42.45,55.4,1.81
195,new glasgow,75,LR,1604712628,94,6.65,-10.59,78.8,0.81
196,severo-kurilsk,75,RU,1604712628,77,50.68,156.12,36.77,5.57
197,maldonado,0,UY,1604712628,77,-34.67,-54.92,64.4,11.41
198,marion,20,US,1604712516,62,39.77,-86.16,59.0,9.17
199,warin chamrap,72,DE,1604712628,96,53.8,11.7,53.01,1.99
200,havoysund,75,NO,1604712629,75,71.0,24.66,41.0,34.45
201,naze,75,JP,1604712629,88,28.37,129.48,82.4,8.05
202,longyan,77,CN,1604712629,53,25.11,117.02,77.0,3.0
203,chapais,90,CA,1604712629,86,49.78,-74.85,41.0,11.41
204,jalu,8,LY,1604712361,67,29.03,21.55,62.19,8.55
205,poum,0,NC,1604712630,73,-20.23,164.02,78.3,9.66
206,suraabad,90,AZ,1604712630,82,40.82,49.47,57.2,16.11
207,juayua,89,SV,1604712631,100,13.84,-89.75,70.0,2.06
208,fuzhou,75,CN,1604712631,53,26.06,119.31,73.4,20.13
209,ponta do sol,53,PT,1604712631,74,38.73,-28.27,54.45,26.49
210,fairbanks,90,US,1604712431,92,64.84,-147.72,28.99,10.49
211,itoman,20,JP,1604712631,74,26.12,127.67,82.4,4.7
212,ahipara,99,NZ,1604712336,86,-35.17,173.17,67.77,14.72
213,gemena,100,CD,1604712632,98,3.25,19.77,70.18,0.65
214,huangchuan,0,CN,1604712632,37,32.13,115.04,65.86,4.56
215,bodden town,13,GB,1604712632,92,51.2,-2.52,44.01,1.99
216,mendi,79,PG,1604712343,92,-6.18,143.65,63.79,3.94
217,nampula,0,MZ,1604712632,78,-15.12,39.27,71.6,12.75
218,roald,100,NO,1604712633,81,62.58,6.13,51.8,24.16
219,tautira,40,PF,1604712633,62,-17.73,-149.15,86.0,5.82
220,valsad,0,IN,1604712633,46,20.63,72.93,71.2,6.53
221,airai,0,TL,1604712634,32,-8.93,125.41,79.56,7.54
222,virginia beach,1,US,1604712534,93,37.55,-77.45,57.99,1.12
223,chervone,100,UA,1604712635,93,49.96,28.86,45.48,12.53
224,carbonia,5,IT,1604712635,87,39.17,8.52,62.6,2.24
225,srednekolymsk,100,RU,1604712635,93,67.45,153.68,-0.27,6.06
226,sobolevo,100,RU,1604712635,92,54.43,31.9,44.87,14.83
227,bengkulu,4,ID,1604712635,64,-3.8,102.27,84.09,1.57
228,chumikan,7,RU,1604712353,92,54.72,135.31,16.18,13.29
229,sao filipe,0,IN,1604712637,50,20.51,76.21,64.02,5.03
230,arman,97,RU,1604712637,86,59.7,150.17,13.26,8.93
231,serenje,0,ZM,1604712637,37,-13.23,30.24,62.74,4.52
232,struer,44,DK,1604712637,94,56.49,8.58,51.01,7.58
233,danville,1,US,1604712570,87,36.59,-79.39,57.99,0.76
234,chippewa falls,1,US,1604712637,71,46.3,-84.48,55.4,3.36
235,kashi,0,CN,1604712638,32,39.45,75.98,41.0,13.42
236,capaci,0,IT,1604712638,82,38.17,13.24,60.01,3.36
237,mount gambier,42,GB,1604712638,99,53.66,-1.85,42.01,1.99
238,mbandaka,22,CD,1604712639,96,0.05,18.26,69.57,2.91
239,labuhan,6,ID,1604712639,64,-6.88,112.21,85.46,2.15
240,porto novo,75,PT,1604712639,82,41.15,-8.61,59.0,9.17
241,prieska,50,ZA,1604712640,42,-29.66,22.75,63.48,5.46
242,vanimo,64,PG,1604712640,60,-2.67,141.3,87.19,7.25
243,tynda,100,RU,1604712640,93,55.17,124.72,14.7,2.89
244,okhotsk,38,RU,1604712640,90,59.38,143.3,12.45,17.38
245,kieta,96,PG,1604712641,67,-6.22,155.63,84.67,2.33
246,abu dhabi,0,IN,1604712641,51,24.6,72.7,58.44,4.32
247,afsin,18,TR,1604712641,70,38.25,36.91,42.6,4.09
248,bredasdorp,60,ZA,1604712641,87,-34.53,20.04,51.8,5.82
249,flinders,75,AU,1604712642,55,-34.58,150.86,64.99,17.22
250,parana,0,AR,1604712642,54,-31.73,-60.52,75.0,1.99
251,bandarbeyla,13,SO,1604712642,83,9.49,50.81,73.04,8.79
252,lasa,5,IT,1604712643,93,46.62,10.7,43.0,3.36
253,dubbo,0,AU,1604712643,36,-32.25,148.62,75.2,9.17
254,zavyalovo,0,RU,1604712644,80,54.51,82.45,35.6,8.95
255,tobane,11,BW,1604712644,47,-21.95,27.9,78.21,4.09
256,semenivka,100,UA,1604712645,95,52.18,32.58,41.72,11.14
257,ribeira grande,75,ES,1604712645,87,42.75,-8.44,53.6,9.17
258,rawson,2,AR,1604712509,75,-43.3,-65.1,52.68,11.61
259,mon,0,IN,1604712646,65,26.75,95.1,69.69,0.76
260,vila franca do campo,100,PT,1604712646,94,42.03,-8.16,52.0,4.16
261,puerto colombia,40,ES,1604712646,77,36.59,-6.23,62.6,9.17
262,cap malheureux,0,FR,1604712646,100,49.27,-1.21,50.0,8.05
263,abu samrah,0,IN,1604712641,51,24.6,72.7,58.44,4.32
264,katsuura,75,JP,1604712646,67,35.13,140.3,71.01,4.7
265,torbay,75,CA,1604712647,87,47.67,-52.73,52.0,23.04
266,maragheh,90,IR,1604712647,81,37.39,46.24,50.0,6.93
267,ishigaki,75,JP,1604712648,94,24.34,124.16,80.6,8.05
268,batagay-alyta,2,RU,1604712648,84,67.8,130.41,-13.5,1.28
269,altea,100,ES,1604712648,94,38.6,-0.05,66.0,11.01
270,perth,0,AU,1604712497,49,-31.93,115.83,75.0,13.87
271,ambon,100,ID,1604712448,70,-3.7,128.18,82.85,9.17
